date,values
2023-07-31,99
2023-08-01,67
2023-08-02,66
2023-08-03,64
2023-08-04,71
2023-08-05,71
2023-08-06,180
2023-08-07,106
2023-08-08,77
2023-08-09,63
2023-08-10,58
2023-08-11,54
2023-08-12,57
2023-08-13,53
2023-08-14,50
2023-08-15,50
2023-08-16,46
2023-08-17,40
2023-08-18,39
2023-08-19,59
2023-08-20,59
2023-08-21,41
2023-08-22,59
2023-08-23,56
2023-08-24,53
2023-08-25,51
2023-08-26,60
2023-08-27,60
2023-08-28,77
2023-08-29,184
2023-08-30,228
2023-08-31,156
2023-09-01,86
2023-09-02,63
2023-09-03,39
2023-09-04,57
2023-09-05,61
2023-09-06,57
2023-09-07,62
2023-09-08,146
2023-09-09,87
2023-09-10,54
2023-09-11,53
2023-09-12,69
2023-09-13,71
2023-09-14,58
2023-09-15,59
2023-09-16,59
2023-09-17,52
2023-09-18,39
2023-09-19,54
2023-09-20,51
2023-09-21,59
2023-09-22,69
2023-09-23,70
2023-09-24,75
2023-09-25,79
2023-09-26,72
2023-09-27,109
2023-09-28,115
2023-09-29,91
2023-09-30,57
2023-10-01,48
2023-10-02,68
2023-10-03,63
2023-10-04,70
2023-10-05,67
2023-10-06,63
2023-10-07,77
2023-10-08,88
2023-10-09,74
2023-10-10,68
2023-10-11,65
2023-10-12,60
2023-10-13,70
2023-10-14,83
2023-10-15,79
2023-10-16,76
2023-10-17,97
2023-10-18,100
2023-10-19,108
2023-10-20,82
2023-10-21,53
2023-10-22,62
2023-10-23,61
2023-10-24,62
2023-10-25,59
2023-10-26,48
2023-10-27,61
2023-10-28,70
2023-10-29,69
2023-10-30,40
2023-10-31,48
2023-11-01,50
2023-11-02,57
2023-11-03,69
2023-11-04,85
2023-11-05,116
2023-11-06,146
2023-11-07,135
2023-11-08,61
2023-11-09,38
2023-11-10,54
2023-11-11,58
2023-11-12,63
2023-11-13,78
2023-11-14,78
2023-11-15,70
2023-11-16,55
2023-11-17,68
2023-11-18,66
2023-11-19,56
2023-11-20,41
2023-11-21,40
2023-11-22,50
2023-11-23,59
2023-11-24,56
2023-11-25,57
2023-11-26,54
2023-11-27,45
2023-11-28,54
2023-11-29,53
2023-11-30,50
2023-12-01,58
2023-12-02,55
2023-12-03,73
2023-12-04,72
2023-12-05,63
2023-12-06,66
2023-12-07,76
2023-12-08,67
2023-12-09,49
2023-12-10,43
2023-12-11,65
2023-12-12,82
2023-12-13,73
2023-12-14,66
2023-12-15,60
2023-12-16,62
2023-12-17,63
2023-12-18,73
2023-12-19,67
2023-12-20,44
2023-12-21,34
2023-12-22,43
2023-12-23,63
2023-12-24,80
2023-12-25,72
2023-12-26,78
2023-12-27,86
2023-12-28,94
2023-12-29,87
2023-12-30,92
2023-12-31,65
2024-01-01,64
2024-01-02,61
2024-01-03,75
2024-01-04,57
2024-01-05,53
2024-01-06,58
2024-01-07,57
2024-01-08,37
2024-01-09,55
2024-01-10,69
2024-01-11,60
2024-01-12,56
2024-01-13,75
2024-01-14,87
2024-01-15,85
2024-01-16,81
2024-01-17,129
2024-01-18,126
2024-01-19,78
2024-01-20,85
2024-01-21,66
2024-01-22,41
2024-01-23,48
2024-01-24,64
2024-01-25,68
2024-01-26,60
2024-01-27,59
2024-01-28,61
2024-01-29,63
2024-01-30,76
2024-01-31,96
2024-02-01,78
2024-02-02,35
2024-02-03,51
2024-02-04,54
2024-02-05,40
2024-02-06,45
2024-02-07,38
2024-02-08,37
2024-02-09,52
2024-02-10,51
