date,values
2015-01-02,171.0936737060547
2015-01-05,168.00376892089844
2015-01-06,166.42135620117188
2015-01-07,168.4951629638672
2015-01-08,171.48512268066406
2015-01-09,170.11090087890625
2015-01-12,168.77833557128906
2015-01-13,168.30355834960938
2015-01-14,167.2875518798828
2015-01-15,165.755126953125
2015-01-16,167.9288787841797
2015-01-19,167.9288787841797
2015-01-20,168.28700256347656
2015-01-21,169.1365203857422
2015-01-22,171.65170288085938
2015-01-23,170.7106170654297
2015-01-26,171.11036682128906
2015-01-27,168.8533172607422
2015-01-28,166.68789672851562
2015-01-29,168.2287139892578
2015-01-30,166.1131591796875
2015-02-02,168.1703643798828
2015-02-03,170.60232543945312
2015-02-04,169.95266723632812
2015-02-05,171.6683807373047
2015-02-06,171.1936492919922
2015-02-09,170.42742919921875
2015-02-10,172.24302673339844
2015-02-11,172.343017578125
2015-02-12,174.00033569335938
2015-02-13,174.71656799316406
2015-02-16,174.71656799316406
2015-02-17,174.991455078125
2015-02-18,175.0081329345703
2015-02-19,174.8831787109375
2015-02-20,175.93264770507812
2015-02-23,175.9075927734375
2015-02-24,176.40737915039062
2015-02-25,176.2574005126953
2015-02-26,176.04916381835938
2015-02-27,175.44952392578125
2015-03-02,176.55723571777344
2015-03-03,175.83265686035156
2015-03-04,175.09140014648438
2015-03-05,175.282958984375
2015-03-06,172.8177490234375
2015-03-09,173.53396606445312
2015-03-10,170.71890258789062
2015-03-11,170.31915283203125
2015-03-12,172.4844970703125
2015-03-13,171.4268035888672
2015-03-16,173.71717834472656
2015-03-17,173.20083618164062
2015-03-18,175.282958984375
2015-03-19,174.48345947265625
2015-03-20,176.0235595703125
2015-03-23,175.68057250976562
2015-03-24,174.69342041015625
2015-03-25,172.13348388671875
2015-03-26,171.7235870361328
2015-03-27,172.1167755126953
2015-03-30,174.216552734375
2015-03-31,172.69398498535156
2015-04-01,172.08331298828125
2015-04-02,172.7023468017578
2015-04-03,172.7023468017578
2015-04-06,173.8651885986328
2015-04-07,173.40512084960938
2015-04-08,173.9906463623047
2015-04-09,174.76031494140625
2015-04-10,175.71401977539062
2015-04-13,174.9192352294922
2015-04-14,175.25392150878906
2015-04-15,176.0402374267578
2015-04-16,175.9900665283203
2015-04-17,173.9655303955078
2015-04-20,175.5550537109375
2015-04-21,175.345947265625
2015-04-22,176.20765686035156
2015-04-23,176.65101623535156
2015-04-24,177.06089782714844
2015-04-27,176.32470703125
2015-04-28,176.88523864746094
2015-04-29,176.1573944091797
2015-04-30,174.39224243164062
2015-05-01,176.28285217285156
2015-05-04,176.78477478027344
2015-05-05,174.76031494140625
2015-05-06,174.0408172607422
2015-05-07,174.73519897460938
2015-05-08,177.03585815429688
2015-05-11,176.19088745117188
2015-05-12,175.663818359375
2015-05-13,175.69729614257812
2015-05-14,177.52938842773438
2015-05-15,177.7218475341797
2015-05-18,178.27392578125
2015-05-19,178.21539306640625
2015-05-20,178.08985900878906
2015-05-21,178.60858154296875
2015-05-22,178.1819305419922
2015-05-25,178.1819305419922
2015-05-26,176.26617431640625
2015-05-27,177.93931579589844
2015-05-28,177.738525390625
2015-05-29,176.63429260253906
2015-06-01,176.99398803710938
2015-06-02,176.81829833984375
2015-06-03,177.2867431640625
2015-06-04,175.78932189941406
2015-06-05,175.4881591796875
2015-06-08,174.40895080566406
2015-06-09,174.38381958007812
2015-06-10,176.4752655029297
2015-06-11,177.04417419433594
2015-06-12,175.6889190673828
2015-06-15,174.9359893798828
2015-06-16,175.8896942138672
2015-06-17,176.17410278320312
2015-06-18,178.0062255859375
2015-06-19,177.21597290039062
2015-06-22,178.12393188476562
2015-06-23,178.2499542236328
2015-06-24,176.9554443359375
2015-06-25,176.4174041748047
2015-06-26,176.38381958007812
2015-06-29,172.68495178222656
2015-06-30,173.04644775390625
2015-07-01,174.43350219726562
2015-07-02,174.27377319335938
2015-07-03,174.27377319335938
2015-07-06,173.77780151367188
2015-07-07,174.87063598632812
2015-07-08,171.93678283691406
2015-07-09,172.24781799316406
2015-07-10,174.41671752929688
2015-07-13,176.34176635742188
2015-07-14,177.1067352294922
2015-07-15,177.04791259765625
2015-07-16,178.4686279296875
2015-07-17,178.61993408203125
2015-07-20,178.71238708496094
2015-07-21,178.00619506835938
2015-07-22,177.686767578125
2015-07-23,176.68641662597656
2015-07-24,174.85386657714844
2015-07-27,173.83663940429688
2015-07-28,175.9718780517578
2015-07-29,177.18240356445312
2015-07-30,177.2244110107422
2015-07-31,176.9554443359375
2015-08-03,176.35858154296875
2015-08-04,176.01390075683594
2015-08-05,176.59393310546875
2015-08-06,175.14805603027344
2015-08-07,174.81178283691406
2015-08-10,177.0142822265625
2015-08-11,175.41709899902344
2015-08-12,175.627197265625
2015-08-13,175.40866088867188
2015-08-14,176.04750061035156
2015-08-17,177.03106689453125
2015-08-18,176.5182647705078
2015-08-19,175.1228485107422
2015-08-20,171.466064453125
2015-08-21,166.3044891357422
2015-08-24,159.30191040039062
2015-08-25,157.42730712890625
2015-08-26,163.47154235839844
2015-08-27,167.5150146484375
2015-08-28,167.52345275878906
2015-08-31,166.16995239257812
2015-09-01,161.210205078125
2015-09-02,164.27012634277344
2015-09-03,164.3878173828125
2015-09-04,161.8994903564453
2015-09-07,161.8994903564453
2015-09-08,165.96820068359375
2015-09-09,163.74888610839844
2015-09-10,164.64004516601562
2015-09-11,165.38815307617188
2015-09-14,164.7745361328125
2015-09-15,166.8340606689453
2015-09-16,168.2799835205078
2015-09-17,167.90170288085938
2015-09-18,165.157958984375
2015-09-21,166.0113983154297
