Model,MAE,RMSE,MASE,Pinball_0.5
Moirai-Base (FewS),18.97812271118164,23.83956527709961,0.5104974748863028,9.489062118530274
Moirai-Small (FewS),22.651660919189453,27.388153076171875,0.6093129377024129,11.325830396016439
ETS,24.504059768998342,30.146553023982648,0.6591410977212417,12.252029884499171
Moirai-Small (ZS),25.662273406982422,31.689794540405273,0.6902961885891803,12.831137688954671
S-Naive,27.85,36.28153800488617,0.7491444170717092,13.925
Moirai-Base (ZS),42.381629943847656,47.70798110961914,1.1400345227588025,21.190815035502116
