Model,MAE,RMSE,MASE,Pinball_0.5
ETS,18.47778180554658,20.48884046970256,3.7650445659937795,9.23889090277329
Moirai-Base (FewS),19.833702596028647,21.563728798535163,4.041327848145649,9.916851298014324
Moirai-Small (ZS),20.914224243164064,23.127401619752842,4.261495625793324,10.457112121582032
S-Naive,21.988182576497397,24.56799611619927,4.480326058448755,10.994091288248699
Moirai-Base (ZS),23.277469889322916,25.765920449086497,4.743032060838139,11.638734944661458
Moirai-Small (FewS),30.485440063476563,32.65136875072814,6.211732645228423,15.242720031738282
